City_ID,City,Country,Max_Temp,Current Description,Lat,Lng,Hotel Name
4,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
5,Mogadishu,SO,82.27,broken clouds,2.0371,45.3438,Hotel Juba
8,Kazanskaya,RU,79.83,clear sky,45.4106,40.4361,Tikhiy Dvorik
15,Vao,NC,73.94,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
19,Chabua,IN,78.55,overcast clouds,27.4825,95.1736,Biru Rupam Hotel
22,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
23,Ajaccio,FR,84.25,clear sky,42.0,8.9167,Sole E Monte
27,Jamestown,US,82.94,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
33,Kaputa,ZM,82.44,few clouds,-8.4689,29.6619,Chelelwa Charlets
49,Gornyatskiy,RU,82.42,broken clouds,48.2915,40.9575,Remont Komp'yutera
50,Atuona,PF,76.64,scattered clouds,-9.8,-139.0333,Villa Enata
52,Kieta,PG,78.4,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
56,Evanston,US,82.24,clear sky,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
58,Kupang,ID,75.29,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
64,Butaritari,KI,80.92,moderate rain,3.0707,172.7902,Isles Sunset Lodge
67,Praya,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
68,Mabaruma,GY,78.57,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
72,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
79,Sinnamary,GF,82.56,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
94,Rurrenabaque,BO,78.69,broken clouds,-14.4413,-67.5278,Casa de Campo
97,Hithadhoo,MV,81.1,moderate rain,-0.6,73.0833,Scoop Guest House
102,Ewa Beach,US,76.95,broken clouds,21.3156,-158.0072,Base Lodging
105,Mouila,GA,84.11,broken clouds,-1.8685,11.0559,Hôtel du Lac Bleu
109,Leshukonskoye,RU,76.89,broken clouds,64.8989,45.7622,Pryalitsa Hostel
110,Tezu,IN,76.8,overcast clouds,27.9167,96.1667,Circuit House
111,Ingham,US,80.91,clear sky,42.6,-84.3833,Sunset Mobile Home Park
115,Recife,BR,78.84,broken clouds,-8.0539,-34.8811,Rede Andrade Plaza Recife
119,Come,BJ,79.34,overcast clouds,6.4076,1.882,Gbehoue
120,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
121,Athmallik,IN,81.01,overcast clouds,20.7219,84.5348,"Mishra resident and Advocate chamber,Bangalasahi,Athamallik,Angul"
122,Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
124,San Nicolas,PH,83.44,few clouds,18.1725,120.5953,NORTHVIEW Hotel
130,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
133,Aleksandrov Gay,RU,81.55,clear sky,50.147,48.5704,Gostinitsa
134,Wenling,CN,79.81,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
135,Sao Filipe,CV,77.83,overcast clouds,14.8961,-24.4956,Hotel Xaguate
143,Kapaa,US,74.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
147,Mlalo,TZ,76.23,light rain,-4.9333,38.9333,B Farm
149,Akyab,MM,83.48,broken clouds,20.15,92.9,Hotel Memory
154,Karaton,ID,73.87,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
156,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
157,Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
160,Contamana,PE,77.61,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
161,Big Spring,US,82.24,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
164,Kapit,MY,76.64,scattered clouds,2.0167,112.9333,Hotel Meligai Kapit
169,Faanui,PF,77.29,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
172,Azare,NG,74.05,moderate rain,11.6765,10.1948,Mallam Ayuba Compound
179,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
181,Kavaratti,IN,81.1,light rain,10.5669,72.642,Green leaf
184,Kahului,US,73.42,clear sky,20.8947,-156.47,Maui Seaside Hotel
186,Ugoofaaru,MV,81.14,heavy intensity rain,5.6667,73.0,Ungoofaaru Inn
188,Kavieng,PG,81.72,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
195,Dingle,PH,78.53,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
198,Manadhoo,MV,80.82,heavy intensity rain,5.7667,73.3833,Bon Abri maldives
199,Vigrestad,NO,74.97,overcast clouds,58.5667,5.7,Brusand Camping
201,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
203,Masaka,UG,76.77,few clouds,-0.3338,31.7341,Maria flo hotel
204,Ponta Do Sol,PT,83.71,clear sky,32.6667,-17.1,Hotel do Campo
206,Bud,US,82.92,clear sky,39.447,-86.1758,Ted McQuinn Trust
209,Alto Parana,BR,76.33,clear sky,-23.1289,-52.3189,Negão House
213,Jiaojiang,CN,79.52,overcast clouds,28.6803,121.4428,Fangyuan Hotel
215,Kushima,JP,81.0,moderate rain,31.4583,131.2333,Hanaoka
223,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Shishime Hotel
226,San Antonio,US,82.98,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
227,Acoua,YT,78.71,scattered clouds,-12.7239,45.0582,Gîte de Mliha
228,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
233,Bengkulu,ID,78.48,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
236,Garowe,SO,80.71,overcast clouds,8.4054,48.4845,Curubo Hotel
